,Target variable,Score
0,0,1.0238165e-05
1,0,1.4227397e-05
2,0,5.2480987e-06
3,0,1.27007e-07
4,0,9.347381e-07
5,0,2.0781386e-06
6,0,3.8646987e-05
7,0,3.6250782e-08
8,0,8.018034e-08
9,0,7.0416456e-07
10,0,2.3802026e-07
11,0,2.0732195e-05
12,0,0.00013404907
13,0,1.6981301e-06
14,0,1.2797493e-07
15,0,4.218693e-08
16,0,0.00051039585
17,0,1.1716998e-06
18,0,0.00021180659
19,0,1.03206e-06
20,0,2.957136e-05
21,0,1.6198326e-06
22,0,2.3300493e-06
23,0,8.778167e-08
24,0,5.963864e-07
25,0,8.7685504e-07
26,0,7.946635e-06
27,0,2.5671152e-05
28,0,5.834663e-07
29,0,1.04217264e-07
30,0,8.683957e-05
31,0,6.384367e-06
32,0,6.951324e-08
33,0,9.1944725e-07
34,0,1.34269385e-05
35,0,2.4075777e-07
36,0,0.44216082
37,0,3.161125e-06
38,0,6.519038e-07
39,0,2.247063e-06
40,0,4.2227715e-05
41,0,1.0932499e-06
42,0,2.1212827e-05
43,0,2.1197175e-05
44,0,1.526365e-05
45,0,1.7599103e-07
46,0,5.9419212e-06
47,0,3.8625765e-07
48,0,4.5652246e-07
49,0,3.5667166e-05
50,0,6.3234334e-06
51,0,8.239185e-07
52,0,1.7616765e-05
53,0,8.6891936e-07
54,0,1.5811342e-07
55,0,1.1562822e-06
56,0,9.728948e-05
57,0,2.2505396e-06
58,0,3.8791954e-06
59,0,1.6237673e-06
60,0,4.838739e-06
61,0,1.3444096e-05
62,0,3.003892e-07
63,0,1.5046084e-05
64,0,1.9766485e-05
65,0,4.140956e-08
66,0,1.6578679e-06
67,0,2.9036963e-08
68,0,5.241166e-06
69,0,9.665787e-06
70,0,9.735667e-07
71,0,6.9494868e-06
72,0,4.8496045e-06
73,0,6.197015e-07
74,0,2.9751418e-06
75,0,7.0073324e-06
76,0,4.689474e-06
77,0,5.9577985e-07
78,0,3.6732258e-06
79,0,3.3955307e-06
80,0,6.0687324e-07
81,0,0.00046738217
82,0,5.820905e-05
83,0,2.3382165e-06
84,0,1.4632208e-05
85,0,3.6651702e-06
86,0,2.2313197e-05
87,0,3.5044554e-06
88,0,1.4524586e-07
89,0,2.0157595e-06
90,0,5.031939e-07
91,0,4.432416e-07
92,0,2.7150458e-07
93,0,2.0216554e-05
94,0,2.9973617e-07
95,0,6.5236094e-07
96,0,5.8675573e-06
97,0,1.0620017e-06
98,0,2.2838864e-05
99,0,3.1342195e-05
100,0,3.7325187e-06
101,0,3.1692613e-07
102,0,6.667348e-08
103,0,4.3541488e-05
104,0,5.042891e-06
105,0,4.0107443e-07
106,0,1.8756848e-06
107,0,3.4360605e-06
108,0,5.8922246e-06
109,0,2.587483e-06
110,0,6.7190183e-07
111,0,5.8157788e-05
112,0,2.419632e-05
113,0,2.4197427e-05
114,0,1.963411e-06
115,0,2.8499113e-07
116,0,2.1181745e-06
117,0,0.19121131
118,0,2.987818e-07
119,0,7.5047404e-07
120,0,2.539647e-06
121,0,1.311958e-07
122,0,4.138997e-06
123,0,2.1126355e-07
124,0,9.4665256e-07
125,0,3.1644036e-06
126,0,0.00014524274
127,0,2.0159636e-08
128,0,2.230761e-06
129,0,1.1512483e-06
130,0,1.2530979e-06
131,0,3.6462777e-07
132,0,1.6098624e-06
133,0,0.00022886689
134,0,6.0341113e-06
135,0,2.2215133e-06
136,0,3.682169e-07
137,0,3.2274806e-06
138,0,1.1874235e-06
139,0,9.061642e-05
140,0,0.00034304432
141,0,2.4011417e-06
142,0,1.2391533e-05
143,0,2.7643864e-08
144,0,4.8368292e-06
145,0,1.1817716e-06
146,0,8.081003e-06
147,0,1.6930751e-06
148,0,7.4065225e-05
149,0,4.698351e-06
150,0,0.00015455646
151,0,1.4034925e-06
152,0,1.6178568e-05
153,0,8.9235033e-07
154,0,1.2684055e-05
155,0,3.1390837e-06
156,0,5.2370563e-08
157,0,0.000119903125
158,0,0.00017311708
159,0,1.6832047e-06
160,0,1.9491428e-05
161,0,1.7811733e-06
162,0,6.079635e-08
163,0,1.05173285e-05
164,0,1.2208204e-07
165,0,4.0589854e-05
166,0,6.720513e-06
167,0,3.4389975e-06
168,0,2.195527e-05
169,0,1.1794286e-06
170,0,0.010042869
171,0,2.3119955e-07
172,0,5.8847836e-06
173,0,3.418149e-07
174,0,1.0257119e-07
175,0,6.277081e-07
176,0,1.0054765e-05
177,0,3.1491916e-06
178,0,3.1586947e-07
179,0,1.24182e-06
180,0,1.6384577e-06
181,0,1.6169232e-06
182,0,3.7573257e-06
183,0,7.445443e-07
184,0,1.3736164e-06
185,0,1.5777105e-06
186,0,8.841093e-06
187,0,5.085553e-05
188,0,4.917573e-07
189,0,1.11252945e-07
190,0,5.536195e-06
191,0,2.4448532e-06
192,0,4.413578e-07
193,0,1.7237287e-06
194,0,0.00010141627
195,0,5.603014e-06
196,0,4.9801015e-06
197,0,2.3391118e-05
198,0,1.2656752e-06
199,0,4.570873e-05
200,0,6.4755096e-07
201,0,8.210321e-08
202,0,2.7716544e-06
203,0,1.1121512e-06
204,0,5.0684193e-05
205,0,6.610744e-07
206,0,1.435184e-05
207,0,4.1048796e-05
208,0,0.0027591728
209,0,2.4264518e-06
210,0,3.455072e-07
211,0,6.0303324e-07
212,0,2.3915777e-06
213,0,2.1071958e-06
214,0,2.3842358e-05
215,0,2.615031e-05
216,0,2.3042612e-06
217,0,7.421064e-07
218,0,1.4372606e-06
219,0,1.2927329e-05
220,0,3.269263e-05
221,0,1.4728407e-06
222,0,1.5958673e-05
223,0,1.4876107e-06
224,0,7.537159e-05
225,0,1.1275657e-07
226,0,1.2932668e-05
227,0,0.00048879156
228,0,2.2991576e-06
229,0,4.8074304e-05
230,0,1.84869e-07
231,0,1.2847462e-06
232,0,2.3263658e-06
233,0,3.7155212e-06
234,0,2.1667569e-07
235,0,8.754313e-07
236,0,9.565002e-06
237,0,1.094003e-06
238,0,2.8304177e-07
239,0,3.845005e-07
240,0,5.750124e-07
241,0,8.4814604e-07
242,0,1.0780749e-06
243,0,1.6971919e-05
244,0,4.378974e-06
245,0,1.424461e-05
246,0,2.8252582e-05
247,0,8.449623e-06
248,0,4.488551e-05
249,0,9.757124e-08
250,0,1.3437843e-06
251,0,1.2931098e-06
252,0,2.7526908e-06
253,0,2.038391e-06
254,0,0.00019212617
255,0,6.5529866e-06
256,0,1.4551125e-06
257,0,1.8821665e-07
258,0,1.2740768e-05
259,0,5.190628e-06
260,0,3.390305e-06
261,0,5.721811e-06
262,0,2.3576105e-08
263,0,4.720024e-07
264,0,1.7818852e-06
265,0,3.360422e-07
266,0,4.384196e-07
267,0,1.3395567e-06
268,0,1.6362685e-06
269,0,1.5090757e-06
270,0,4.5436213e-06
271,0,6.929943e-07
272,0,2.5197703e-06
273,0,2.4805465e-06
274,0,1.8950406e-07
275,0,1.4751839e-07
276,0,1.0925182e-06
277,0,3.1343304e-06
278,0,7.890031e-05
279,0,1.1610325e-06
280,0,6.3631837e-06
281,0,4.987366e-05
282,0,0.00016678408
283,0,4.0595146e-06
284,0,3.9361563e-08
285,0,1.1029525e-06
286,0,2.94394e-06
287,0,2.2850802e-06
288,0,1.5555997e-05
289,0,9.709316e-07
290,0,1.871261e-06
291,0,2.0954665e-06
292,0,3.8050635e-05
293,0,2.2938182e-06
294,0,3.9443862e-07
295,0,2.373469e-06
296,0,1.5370002e-05
297,0,2.1954034e-05
298,0,1.0188899e-06
299,0,7.595703e-07
300,0,0.00052683975
301,0,9.814152e-06
302,0,0.0005616072
303,0,5.640687e-07
304,0,2.6150888e-06
305,0,6.037704e-07
306,0,1.1610325e-06
307,0,1.5290325e-05
308,0,9.4552837e-07
309,0,9.761194e-05
310,0,7.715075e-07
311,0,9.5139285e-06
312,0,1.6982336e-06
313,0,5.6265103e-06
314,0,7.949266e-06
315,0,6.0273073e-06
316,0,5.2650717e-05
317,0,6.8118043e-06
318,0,1.6011793e-06
319,0,6.1392e-05
320,0,9.138388e-08
321,0,1.0369532e-05
322,0,4.5322613e-06
323,0,2.9088048e-07
324,0,2.7153435e-06
325,0,3.2355827e-06
326,0,3.4633953e-07
327,0,0.0067397174
328,0,2.6152009e-07
329,0,9.4226885e-07
330,0,2.1981263e-07
331,0,1.2827579e-06
332,0,5.8601043e-05
333,0,9.06136e-08
334,0,8.1941735e-06
335,0,6.3411135e-05
